date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,incidents,department_name
2020-05-25,-25.857142857142858,-1.1428571428571428,38.57142857142857,-35.0,-41.714285714285715,13.428571428571429,-11.61985780537429,Albuquerque Fire Rescue (73343)
2020-06-01,-22.0,-1.2857142857142858,31.571428571428573,-31.428571428571427,-33.142857142857146,12.142857142857142,-5.194841120367046,Albuquerque Fire Rescue (73343)
2020-06-08,-15.142857142857142,3.7142857142857144,32.42857142857143,-29.285714285714285,-31.714285714285715,10.571428571428571,-8.762112005090076,Albuquerque Fire Rescue (73343)
2020-06-15,-14.285714285714286,0.8571428571428571,38.142857142857146,-27.0,-30.428571428571427,10.142857142857142,-11.088090916613984,Albuquerque Fire Rescue (73343)
2020-06-22,-13.857142857142858,3.2857142857142856,40.42857142857143,-25.0,-30.285714285714285,9.0,-7.851367710206401,Albuquerque Fire Rescue (73343)
2020-06-29,-13.428571428571429,-0.42857142857142855,39.857142857142854,-20.285714285714285,-30.857142857142858,9.142857142857142,-7.380746447603459,Albuquerque Fire Rescue (73343)
2020-07-06,-14.714285714285714,2.5714285714285716,33.42857142857143,-22.857142857142858,-37.285714285714285,9.428571428571429,-6.337326374903805,Albuquerque Fire Rescue (73343)
2020-07-13,-16.0,-0.5714285714285714,26.571428571428573,-24.714285714285715,-32.714285714285715,10.0,-0.7250914530931175,Albuquerque Fire Rescue (73343)
2020-07-20,-18.428571428571427,-2.7142857142857144,33.42857142857143,-25.714285714285715,-33.285714285714285,10.285714285714286,-4.404659554946322,Albuquerque Fire Rescue (73343)
2020-07-27,-18.285714285714285,-5.714285714285714,32.714285714285715,-26.857142857142858,-33.42857142857143,10.428571428571429,-6.466400479692853,Albuquerque Fire Rescue (73343)
2020-08-03,-16.428571428571427,-4.714285714285714,35.0,-25.142857142857142,-33.142857142857146,9.285714285714286,-2.723867238071816,Albuquerque Fire Rescue (73343)
2020-08-10,-16.571428571428573,-5.0,39.714285714285715,-24.142857142857142,-32.857142857142854,9.285714285714286,-2.4515474462119538,Albuquerque Fire Rescue (73343)
