,intercept,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,March,April,May
Jackson County Fire District 3,2.9590178666705733,0.00983409458454479,0.05855605324116199,0.12141812529858122,-0.013737297649118017,-0.06514935340012709,-0.15323913302666126,0.10244681031210368,0.09302171992127528,0.1783999317356938
Jackson Township Fire Department,0.8262631039568327,-0.03518242878456577,-0.0027197693706315735,0.0950744686154456,-0.0602755463821916,-0.07633193005393164,0.004122655668309644,-0.020351871505960337,-0.018918077172047625,0.017856475517103797
Jersey City Fire Department,4.179718944557399,0.0015961385842713114,0.03235753103723072,-0.01013643926516008,0.019618662618904763,-0.05284445159863183,-0.07209281040101091,-0.5378904053220384,-0.5871805377220926,-0.5054119494826167
Kingston Fire and Rescue,2.5627366929557693,0.013258738876360202,0.07942091342244871,-0.015833230831343175,-0.020793199452390235,-0.08805343646810329,-0.16008141011546972,0.06051176044993843,0.06299232172981323,0.030452014845054533
Lexington Fire Department,4.991440484067593,0.026695296138786313,0.034177432361227465,0.07034263793561714,0.0723026020522288,0.011540859922793106,-0.07148917117813029,0.039462620447091645,0.015354483657269224,0.056741952746517534
Los Angeles County Fire Department,7.019668364257421,-0.029994359821203506,-0.030289622918713354,-0.021727388711853753,-0.005902538075796052,-0.029597204604579527,-0.06501758460682366,0.010663281305200749,-0.00708011471165803,-0.027359562423212375
Loudoun County Fire Rescue and EMS,4.156830168971164,-0.027675986606365426,-0.01861889925940835,0.024570350719947714,-0.02281764849771956,-0.04359112303649633,-0.0755996108964015,-0.09268839351260602,-0.038748002353430344,0.000887185699648182
Memphis Division of Fire Services,6.01184099901023,-0.022096040078857293,-0.0032430804248115056,-0.01637206204693042,-0.015832058257696,-0.03449867923894641,-0.12006957982304481,-0.016816973324579022,0.02166934618945426,0.036116161280781815
Mesa Fire and Medical Department,5.431576104729196,-0.04560228352546343,-0.06917962697733757,-0.028160119463319744,-0.01813739623092378,-0.09505804614219539,-0.19332635429156336,0.01037771450986139,-0.028873096036697483,-0.09053614284765292
Miami-Dade Fire Rescue Department,6.587895498002515,-0.030739332570309738,-0.054064382692080366,-0.04381165238416806,-0.007191666855849733,-0.034453827625564586,-0.07338185717360539,-0.023642245628139005,-0.014459141580633224,-0.010086933192109444
New Rochelle Fire Department,3.3673029484915222,-0.1082190688044041,-0.0035688090248720784,-0.15501770264827092,0.0026612467460733866,-0.023828674769407664,-0.1168204375405836,0.07944623938640875,0.01877898811387473,0.05021915691524167
