department_name,date,retail/recreation_avg,grocery/pharmacy_avg,parks_avg,workplace_avg,residential_avg,level_1,avg_change_baseline_incidents
Anne Arundel County Fire Department,2020-04-06,-47.857142857142854,-28.571428571428573,5.0,-52.857142857142854,22.857142857142858,2504,-20.317309076981783
Anne Arundel County Fire Department,2020-04-13,-48.857142857142854,-28.857142857142858,5.428571428571429,-55.0,23.285714285714285,2511,-16.12601255098046
Anne Arundel County Fire Department,2020-04-20,-46.0,-24.0,-1.5714285714285714,-54.0,24.285714285714285,2516,-22.204220097016247
Anne Arundel County Fire Department,2020-04-27,-46.0,-23.142857142857142,2.4285714285714284,-51.42857142857143,22.285714285714285,2522,-24.004557761719173
Anne Arundel County Fire Department,2020-05-04,-40.857142857142854,-19.142857142857142,35.42857142857143,-52.142857142857146,21.285714285714285,2529,-19.0170861453335
Anne Arundel County Fire Department,2020-05-11,-38.57142857142857,-15.285714285714286,36.857142857142854,-47.57142857142857,19.714285714285715,2535,-18.17796804905547
Anne Arundel County Fire Department,2020-05-18,-36.42857142857143,-15.142857142857142,92.85714285714286,-45.857142857142854,18.142857142857142,2542,-18.651272702105256
Anne Arundel County Fire Department,2020-05-25,-34.285714285714285,-12.285714285714286,104.0,-48.285714285714285,18.428571428571427,2549,-17.76610589913808
Beavercreek Township Fire Department,2020-02-17,7.0,3.3333333333333335,17.666666666666668,-8.333333333333334,1.6666666666666667,3689,-2.0579651497603786
Beavercreek Township Fire Department,2020-02-24,3.142857142857143,1.7142857142857142,29.428571428571427,3.7142857142857144,-0.42857142857142855,3696,6.858877319280407
Beavercreek Township Fire Department,2020-03-02,6.428571428571429,3.0,7.714285714285714,1.5714285714285714,-0.2857142857142857,3703,19.299890400687854
Beavercreek Township Fire Department,2020-03-09,8.714285714285714,6.285714285714286,68.85714285714286,1.0,-1.0,3710,11.199163475107923
Beavercreek Township Fire Department,2020-03-16,-3.2857142857142856,25.0,17.285714285714285,-5.285714285714286,2.857142857142857,3717,-1.5785841748246345
